pH,x1,x2,y
4.83,2.513391795,0.7032783,0.69
5.68,2.530646615,0.930260258,0.4
5.38,2.973612305,0.830394808,0.555
5.94,2.51242351,0.6125562,0.365
5.48,2.27797845,0.684482375,0.435
5.78,2.58224947,0.819963333,0.415
5.58,2.73375304,0.712180467,0.525
5.96,3.15147367,0.81196215,0.39
5.55,2.84640478,0.605484583,0.45
5.67,2.49898461,0.721130542,0.445
5.35,2.386765645,0.525935675,0.58
4.21,1.908111,0.401073867,0.955
5.73,2.2674836,0.970945517,0.475
5.31,2.509419325,0.903116192,0.575
4.5,2.591741945,0.528069367,0.79
5.12,2.73194488,0.962647617,0.565
5.46,2.09068819,0.746239058,0.415
4.9,2.64871558,0.823852617,0.635
5.97,2.657867695,1.067631308,0.38
5.2,5.559578275,1.448989825,0.595
4.98,2.2627789,0.823070692,0.63
5.55,3.05985862,0.8010823,0.455
5.58,4.41813121,1.214940933,0.44
5.97,3.640063905,1.115210983,0.395
5.42,2.500368245,0.673295517,0.46
5.5,2.88176348,0.592891992,0.51
5.94,2.822271475,0.865600125,0.425
4.81,2.33900964,0.561936625,0.685
5.14,58.39306835,0.182548233,0.7
5.78,3.11176577,1.211904525,0.395
5.56,3.81652192,0.995422417,0.505
5.56,2.6603817,1.4810891,0.505
5.74,1.251917245,0.762124508,0.47
5.28,7.93375478,1.069296033,0.67
4.41,1.55874171,0.521463808,0.93
5.83,2.15126568,0.963283217,0.425
4.02,2.14464089,0.600328308,1.18
4.97,2.489544325,0.957636492,0.78
5.83,4.29150074,1.486896233,0.47
5.67,4.364180655,0.673354308,0.605
5.58,2.45929086,0.716977567,0.555
5.85,4.175422505,0.972753817,0.535
5.55,3.279163785,0.728855633,0.36
5.58,5.54525349,0.836063525,0.335
5.2,6.47039768,2.201982933,0.685
5.73,4.674707595,1.149816033,0.355
4.08,1.792902115,0.55437005,1.225
5.37,18.91553948,2.907535142,0.74
5.02,5.38327136,2.841147708,0.935
5.18,7.41487702,3.830787717,0.965
5.99,8.70352396,2.591473333,0.23
5.24,13.05177041,5.1049887,0.855
5.74,3.100601935,0.890183567,0.34
5.46,13.74561003,7.242707225,0.69
5.37,16.32682479,5.488772492,0.74
4.75,12.39797453,6.248591642,1.825
5.37,11.93321178,3.04177285,0.68
5.85,4.81975343,1.613656333,0.375
5.86,2.40878699,0.341286633,0.235
4.92,3.690782335,1.266659067,0.65
5.65,4.24042966,1.302697617,0.45
5.43,2.70093806,1.103471858,0.465
5.73,4.183355305,1.333449667,0.355
5.5,4.79993319,2.029167717,0.42
5.48,5.333971535,1.276862708,0.455
5.85,3.99325495,1.306836558,0.385
4.9,4.11141834,1.002444525,1.35
4.39,2.78909492,0.503103,1.29
4.4,4.012679205,0.871904708,1.23
4.46,3.65447273,1.060017542,1.29
4.56,3.391086505,1.040233392,1.14
5.64,2.419206135,0.9499299,0.385
5.64,2.995379155,0.871501275,0.45
5.66,2.566631925,0.85981685,0.375
5.91,3.74224667,1.5147816,0.495
5.61,5.38854423,2.167376108,0.455
5.64,5.520560305,1.840599667,0.49
5.92,3.426903505,1.118052483,0.305
5.07,4.277738585,0.697325258,0.83
5.73,5.26903791,0.946870942,0.5
5.04,4.39637428,0.76714855,0.88
5.56,5.013911195,1.211396975,0.57
5.12,4.232870705,0.789823842,0.84
5.91,5.591694295,1.151942908,0.375
5.55,5.054736425,1.028253242,0.635
5.74,6.82886198,1.278511075,0.49
5.74,6.985733615,0.849939175,0.595
5.42,6.30894676,0.915429875,0.69
5.3,5.509017145,0.716915142,0.715
5.92,6.52589972,0.830723475,0.545
5.42,5.198148545,0.838223308,0.695
5.74,6.039091005,1.175122592,0.595
5.34,6.20020837,1.319054792,0.795
5.3,5.57008866,1.330223567,0.705
5.53,5.081006905,1.157320233,0.575
5.09,4.093910815,1.106315,0.945
5.91,4.541751675,1.127304258,0.345
5.06,3.88838714,1.211181283,0.965
5.06,3.62153184,0.772867758,0.835
4.75,2.25139907,0.496545917,0.775
4.72,2.58176193,4.431353708,0.87
4.47,2.87719165,0.722152275,1.205
4.1,2.143694525,0.469995625,1.545
4.08,2.02438723,0.434217983,1.59
4.9,4.972542555,0.466304667,1
4.78,4.4568648,0.563326725,1.16
4.46,4.194734525,1.091602992,1.21
4.96,3.91803241,0.540862008,0.95
5.1,4.201459055,0.641093092,0.86
5.12,5.39056394,1.359149433,0.845
5.89,11.74610674,4.630353375,0.34
5.44,4.47301757,1.614507192,0.15
4.57,0.934704785,0.448309858,0.42
4.53,1.468917825,0.50706235,0.52
4.19,0.90046874,0.221950175,0.555
4.47,1.36917431,0.568002625,0.4
5.12,7.67752324,3.129243508,0.58
4.44,1.46849926,0.490663267,0.57
4.35,1.109598985,0.333472325,0.51
4.1,0.936923505,0.258645117,0.545
4.18,0.82575142,0.263525958,0.535
4.42,1.53809541,0.552384558,0.5
4,0.659758945,0.249654533,1.02
4.1,1.173378485,0.380197125,0.78
4.1,0.93495221,0.325377533,0.66
4.27,2.408633455,0.746193142,0.67
4.16,0.93670512,0.443749967,0.535
4.36,1.305719745,0.504909967,0.44
4.09,1.17439579,0.422721608,0.765
4.17,1.144450595,0.359343575,0.595
4.02,0.924841395,0.254130575,0.795
4.69,2.5060798,0.816124042,0.49
5.08,1.913199675,0.711225308,0.305
4.26,1.1997315,0.3850073,0.515
4.11,0.736663835,0.30847725,0.64
4.01,0.70281611,0.184830542,0.64
4.18,1.1110813,0.404969033,0.565
4.18,1.15324178,0.478068675,0.515
4,1.27491919,0.331108958,0.68
4.1,0.89350229,0.249067442,0.6
4.16,1.368309025,0.467354408,0.53
3.98,0.955718445,0.209650308,0.685
4.17,1.026885435,0.350788492,0.515
4.27,1.672889955,0.740537833,0.54
4.02,0.63443595,0.208286025,0.62
4.17,0.915884525,0.251268367,0.51
4.18,1.382830165,0.552867867,0.64
4,1.021817475,0.395721633,0.7
4.19,1.05011821,0.409679833,0.55
4.14,1.12400684,0.362297933,0.495
4.43,0.9175096,0.705339325,0.36
4.09,0.88149398,0.356010675,0.63
4.14,0.62555999,0.196902725,0.595
4.88,0.721235445,0.350932825,0.24
4.09,0.78988946,0.335095367,0.61
4.08,0.824020945,0.258458892,0.63
4.29,1.52413268,0.648417042,0.46
4.74,1.415436565,0.858270375,0.315
4.75,0.99544476,0.500662783,0.26
4.26,0.94378847,0.370636558,0.44
4.03,0.86402677,0.229983917,0.62
4.02,0.696770515,0.198356875,0.6
4.36,1.080699635,0.576674267,0.34
4,0.78643564,0.30373255,0.855
4.09,0.971024325,0.32372545,0.7
3.74,0.91701904,0.257638017,0.92
4.14,1.215003915,0.594625533,0.68
4.5,1.46699769,0.576813642,0.48
4.43,1.636464945,0.702678125,0.495
4.11,0.868061055,0.278805175,0.615
4.73,0.87609099,0.402039067,0.385
4.09,0.847433695,0.333436558,0.72
4.52,1.29416064,0.643023367,0.38
4.1,0.677336845,0.155568408,0.72
4.1,0.83687304,0.30015175,0.78
4.1,1.549223345,0.609568392,0.78
4.18,0.83064928,0.302161975,0.51
4.02,0.72750692,0.267259083,0.715
4.01,0.96408519,0.329494775,0.59
4.25,1.3829855,0.993805958,0.58
4.1,0.88244291,0.289546967,0.58
3.84,0.9584041,0.315418075,0.745
4.18,1.10559001,0.333227625,0.53
4.28,1.31304925,0.6358352,0.535
4.06,0.87553878,0.340998983,0.735
4.2,1.227442585,0.588666758,0.52
5.37,4.754430825,0.611517833,0.355
5.44,5.030496605,0.923096792,0.405
5.98,9.85228998,1.061443442,0.295
5.92,11.75410082,3.349992942,0.265
5.92,3.652089935,0.988408508,0.22
5.03,4.553427665,0.85727135,0.42
5.85,3.3136654,1.592959875,0.29
5.69,4.702638565,0.986724517,0.315
4.64,3.77677168,1.138369633,0.785
5.98,2.857018425,0.617623017,0.24
5.94,2.06769853,0.413757408,0.275
4.74,3.737501635,0.794252542,0.535
4.87,2.564020565,3.401494208,0.69
5.14,2.20239107,4.914666283,0.46
4.96,3.35123742,2.781927992,0.53
4.3,2.01962055,2.294815517,0.85
4.8,4.062241115,1.519410442,0.64
4.8,3.302291685,1.569813567,0.55
4.62,2.36232262,1.712641767,0.61
5.1,2.80128801,1.769081908,0.415
5.05,2.984030945,2.744853658,0.47
5.61,3.33959204,2.784363675,0.345
5.13,1.8259921,4.424525975,0.35
5.28,2.205799485,3.662377267,0.375
5.37,1.369828175,0.616921258,0.335
4.1,1.237407755,0.207925233,0.645
4.01,1.111625855,0.20127645,0.7
3.97,0.88704013,0.155679875,0.62
3.93,0.904900785,0.146153408,0.61
4.67,1.461833465,0.179932642,0.46
4.72,1.4167189,0.18373705,0.41
5.13,1.56653173,0.236640083,0.37
5.23,1.74632216,0.265165467,0.37
3.74,1.60807356,0.357649733,4.17
3.6,2.147663635,0.559420208,4.09
3.74,2.18906747,0.342035583,5.135
3.78,1.653610965,0.328586442,4.325
3.84,1.588181295,0.249416125,4.845
4.1,7.12159214,4.309889442,1.095
4.66,7.088473505,3.513669442,0.7
4.63,4.1714303,1.976334708,0.63
4.75,7.25362054,2.61430455,0.64
4.66,7.00960377,3.920925042,0.685
4.47,8.571842795,5.749424692,0.875
5.39,2.557253265,0.358894058,0.495
5.67,3.255601905,0.388121875,0.45
5.66,3.362017445,0.677474792,0.565
5.57,4.93680179,0.8346918,0.45
5.77,4.408267055,0.537460542,0.39
5.87,3.55968538,0.736466492,0.315
5.67,4.24337282,0.631332275,0.49
5.4,2.83340328,0.906542783,0.465
5.57,2.289050815,0.744226367,0.35
5.82,2.13476175,2.076273192,0.285
5.29,1.94978381,0.847438208,0.365
5.66,2.307479405,0.748081717,0.275
4.5,2.34751613,1.381822583,1.225
5.6,1.741742305,0.433340058,0.335
5.47,4.89051107,0.7302272,0.32
5.93,4.740024005,0.736732717,0.25
4.81,2.87245319,2.22138465,1.375
5.84,4.566180585,0.992854775,0.465
5.82,4.576046705,1.0289218,0.39
5.57,4.532259185,0.548308925,0.475
5.75,4.453824255,0.978573167,0.375
5.64,4.445458555,1.338081833,0.5
5.33,2.076639225,0.877858258,0.465
5.9,4.958119545,0.512193358,0.2
5.77,5.443704065,0.8092314,0.29
5.6,5.12083324,1.44227495,0.405
5.67,4.522596295,0.762155217,0.325
5.46,3.943579685,0.683156208,0.37
4.88,2.9925154,0.83929165,0.595
5.24,3.421263905,0.53652405,0.445
5.57,3.47874663,0.516514817,0.305
5.94,4.43876737,0.527272508,0.305
5.69,4.23826316,0.600017158,0.36
5.85,3.7677991,0.62425895,0.32
5.81,4.359208975,0.741095917,0.325
5.45,3.145245555,0.714141192,0.46
5.55,2.773050255,0.52532345,0.365
5.82,5.49687797,0.952387967,0.395
5.72,4.692785455,0.952684342,0.44
5.81,5.55018543,0.761551467,0.44
5.76,4.26495625,0.755039467,0.43
5.16,2.57195722,0.41223425,0.6
5.55,2.70688365,0.264739833,0.44
5.84,4.1266685,0.687101108,0.335
5.96,4.28349893,0.605585592,0.315
5.38,2.36042804,0.581354792,0.465
5.42,3.481627795,0.499396833,0.6
5.71,3.71886815,0.671028125,0.355
5.85,3.26600492,0.777576883,0.335
5.05,2.373821905,0.345516,0.745
5.13,3.36473461,0.353644617,0.68
5.24,2.94647206,0.302472283,0.58
5.67,4.066566215,0.346158875,0.415
4.26,1.66418994,0.656010717,0.785
4.11,1.035337225,0.139796283,0.59
5.77,2.295978405,0.179494192,0.25
5.95,2.700633345,0.850865542,0.23
5.13,1.540649445,0.296364767,0.415
5.96,0.80310831,0.233899042,0.16
5.26,2.763529885,0.755260608,0.46
5.72,5.32200624,1.4013524,0.29
5.89,4.43776599,0.687592875,0.225
6,5.70170716,0.8724899,0.29
5.53,5.02830053,0.754054758,0.72
5.98,2.96379653,0.587313125,0.365
5.83,3.286074725,0.709641008,0.385
5.35,1.90943868,0.307920008,0.73
5.71,5.758309725,1.358394617,0.45
4.66,1.247286745,0.184432467,0.715
5.08,3.14606671,0.810144975,0.805
5.89,1.891645395,0.423525542,0.285
5.98,0.998619115,0.131744992,0.21
5.93,4.53939441,1.041086342,0.285
5.77,3.69849577,0.590877617,0.39
4.81,1.764578665,0.381388617,0.81
5.91,4.68655473,0.587686867,0.32
5.98,6.018036355,0.432295708,0.285
5.83,5.839470125,1.346389067,0.32
5.95,4.710189535,0.635699417,0.29
5.49,3.770962705,0.460601975,0.49
5.09,3.561851595,0.49945055,0.625
5.96,4.055338525,0.878779992,0.285
5.32,3.7297772,0.350837517,0.625
6,5.152717435,0.371241858,0.26
4.01,0.823007845,0.211484567,0.765
4.09,1.071488,0.262235083,0.92
4.91,2.733043075,0.59320065,0.765
5.87,3.51442365,1.10401675,0.315
5.31,0.807542995,0.346718267,0.455
4.93,1.59150574,0.343831,0.605
5.41,1.214226115,0.396020867,0.375
5.92,1.691183275,0.3485954,0.335
5.86,4.653614355,0.662372733,0.35
5.47,3.207601705,0.480564933,0.545
5.77,2.72095693,0.605672808,0.425
4.64,1.153886675,0.252821058,0.94
5.45,2.7835956,0.594770075,0.54
4.77,1.126967425,0.4580953,0.685
5.05,1.946292565,0.227505933,0.865
4.09,0.969467385,0.188412433,1.445
4.54,0.91052247,0.136476775,0.835
5.1,1.73540922,0.281409758,0.645
4.56,1.077240465,0.3525033,1.08
5.58,1.887415125,0.267747408,0.6
5.88,3.40793938,0.6751077,0.365
5.76,4.98355344,1.842215658,0.435
4.93,2.660034155,0.569222383,0.705
5.8,2.618984565,0.503166733,0.32
5.71,2.834782775,0.4858581,0.31
5.62,4.143767355,0.701154142,0.46
5.57,3.25552919,0.625018475,0.465
5.66,2.936912625,0.711984717,0.365
5.56,4.0310917,1.0878835,0.43
5.98,4.3681821,1.117509917,0.295
5.79,2.875013,0.553561875,0.32
6,4.28711208,0.967446583,0.27
5.72,2.987095305,0.650465958,0.365
5.95,5.978516005,1.730972892,0.315
6,4.35964454,1.293725808,0.305
5.93,3.57522275,0.866530875,0.33
5.57,4.50004822,0.690120508,0.78
4.09,2.64462993,0.901151792,2.37
4.18,2.07697669,1.115369967,1.715
3.9,2.060523705,0.924952658,2.82
5.29,3.748393755,1.458264083,0.895
5.3,4.20043227,2.043227942,0.9
5.61,4.093648905,1.729217875,0.66
5.18,3.819692565,1.941189633,1.05
5.04,4.790633,2.305907092,1.265
5.34,4.91232693,2.00852595,0.84
5.56,4.531149785,1.426022992,0.69
4.77,3.5001037,1.658426133,1.26
5.83,4.059558565,2.463813625,0.425
5.18,4.355193675,1.128784692,0.745
5.16,2.35207617,2.222972167,0.765
5.99,4.70389663,0.948134075,0.36
5.87,4.69116846,0.705478792,0.475
5.43,4.51671064,0.736922408,0.93
4.06,1.279855975,0.218434825,1.275
4.48,2.12448023,0.246563667,1.075
4.9,1.52204428,0.234686125,0.745
3.98,2.01545602,0.237205317,1.375
5.57,0.7742426,0.095461417,0.33
4.22,1.768813915,0.231635133,1.115
5.04,1.998763315,0.313800825,0.665
5.82,1.632534655,0.253979083,0.37
5.51,1.372105935,0.29462565,0.545
5.85,1.912292915,0.412279742,0.44
5.32,2.309531335,0.306972492,0.65
5.74,3.388623365,0.3468853,0.435
5.63,3.482214245,0.431440908,0.555
5.16,1.244081075,0.209478483,0.56
5.96,3.469246545,0.285488225,0.36
5.16,1.615447695,0.2534408,0.685
5.95,1.360210155,0.190455792,0.33
5.12,2.749229685,0.344801058,0.88
5.51,4.150628255,0.70311795,0.835
4.55,1.612951015,0.265152558,0.905
5.4,1.933507445,0.375644917,0.565
5.23,1.8951762,0.380215683,0.625
4.25,1.77460645,0.399345733,0.93
5.77,0.81625025,0.189204858,0.28
5.89,2.128124255,0.510639617,0.415
5.92,2.7358305,0.570286333,0.43
5.41,2.26140505,0.634535533,0.535
5.79,2.62432832,0.357043317,0.525
5.8,5.918222605,1.093227258,0.62
4.46,2.743782845,0.307850917,1.39
5.96,1.752458315,0.34933015,0.265
5.53,2.531936935,0.434954625,0.72
4.52,1.355391715,0.169376108,0.82
5.79,3.365309505,0.4064644,0.77
5.8,3.300886,0.559929542,0.5
5.8,2.709864665,0.308328233,0.57
4.61,1.603198735,0.202706642,1.175
5.79,2.26866723,0.434660217,0.48
4.2,1.714721445,0.292881533,1.105
5.56,4.11955221,0.765393783,0.735
5.73,4.58592444,0.952810408,0.83
5.74,4.03098179,0.582899158,0.625
5.64,3.23880213,0.573240467,0.695
5.15,2.22322273,0.360615358,0.655
5.97,2.67542008,0.639736692,0.475
5.84,2.64702319,0.5023316,0.45
4.91,1.365469895,0.138033767,0.64
5.29,0.97529985,0.332073775,0.485
4.65,1.15094779,0.167774017,0.465
5.55,1.05394428,0.571740517,0.535
5.72,2.52320152,0.394121108,0.515
5.17,0.98531509,0.136958842,0.44
5.84,0.682616045,0.087864858,0.415
3.78,1.61157545,0.566388117,1.515
3.62,1.54928199,1.15032525,1.6
4.78,4.982779365,3.360915633,0.815
4.94,4.2467854,3.629819817,0.6
5.53,2.938861605,0.3496408,0.505
5.88,3.527917025,0.626820342,0.46
5.52,5.75013557,0.837258792,0.705
5.23,3.30427371,1.116107967,0.825
5.9,4.285149355,1.027587958,0.375
5.97,2.441271255,0.367629258,0.38
5.6,2.28506556,0.484548217,0.535
5.31,1.878975355,0.611993767,0.705
3.95,1.152271245,0.29496065,1.23
5.94,2.81682581,0.617177225,0.385
5.44,3.412375885,0.568594042,0.585
5.96,3.397989425,0.458485017,0.345
4.66,1.71474914,0.531941183,0.84
4.68,1.711705495,0.439743567,0.84
5.31,2.463902975,0.426974058,0.545
5.32,2.559111095,0.629913908,0.265
5.69,4.60012722,1.180260292,0.555
5.53,2.46190678,0.4037275,0.515
5.32,3.723769395,0.770410208,0.83
5.8,3.3079593,0.622830658,0.485
5.32,3.159392465,0.639353333,0.7
4.88,2.4653072,0.499956192,0.84
5.74,2.320588685,0.502155383,0.42
5.79,4.61489377,0.969599717,0.47
5.96,4.338182725,0.733166583,0.41
5.93,4.229845335,1.346058167,0.435
5.84,4.97447109,1.383549925,0.51
5.71,5.07566149,1.121634833,0.54
5.34,4.98215035,1.0608871,1
4.72,3.6836549,0.6984765,1.625
4.41,2.1781753,0.48553585,1.34
4.87,13.39934673,2.819971542,1.46
5.7,1.99192756,0.2358984,0.465
5.77,3.963679505,1.075371092,0.535
5.81,3.99551477,0.871509842,0.52
5.63,3.653182695,0.849989975,0.55
5.84,4.42050465,1.054459283,0.465
5.94,4.868788405,1.062671125,0.455
5.75,4.01910241,0.730806258,0.555
